"id","name","number_of_seasons","number_of_episodes","original_language","vote_average","overview","adult","first_air_date","last_air_date","homepage","in_production","popularity","type","status","tagline","genres","created_by","languages","networks","origin_country","spoken_languages","production_companies","production_countries","episode_run_time"
120140,Elliott from Earth,1,16,en,7.4,"A boy and his mum find themselves suddenly transported somewhere across the universe surrounded by an amazing array of aliens from new and unknown corners of the galaxy. While trying to work out who brought them there and why, they make a new home for themselves and encounter new friends, including Mo, the only other being from Earth – a dinosaur.",False,"2021-03-29","2021-04-09",https://elliottfromearth.cartoonnetwork.co.uk/,True,11.39,Scripted,Returning Series,"","Animation, Comedy","Mic Graves, Guillaume Cassuto, Tony Hull",en,Cartoon Network,GB,English,"Hanna-Barbera Studios Europe, Miyu Productions","France, United Kingdom",11
889,Eureka Seven,2,74,ja,7.6,"Renton Thurston desires to leave his home behind and join the mercenary group known as Gekkostate, hoping to find some adventure. When a robot crashes through Renton's garage the meeting sparks the beginning of Renton's involvement with the Gekkostate as he takes off alongside the young girl Eureka as the co-pilot of the Nirvash.",False,"2005-04-17","2012-11-20",http://www.eureka-prj.net/animation.html,False,18.741,Scripted,Ended,"","Action & Adventure, Sci-Fi & Fantasy, Animation, Drama","",ja,JNN,JP,日本語,BONES,Japan,24
1025,The Bullwinkle Show,5,815,en,6.7,"A variety show, with the main feature being the serialized adventures of the two title characters, the anthropomorphic moose Bullwinkle and flying squirrel Rocky. The main adversaries in most of their adventures are the Russian-like spies Boris Badenov and Natasha Fatale. Supporting segments include Dudley Do-Right, Peabody's Improbable History, and Fractured Fairy Tales, among others.",False,"1959-11-19","1963-07-05","",False,415.70799999999997,Scripted,Ended,"","Animation, Comedy, Family","Bill Scott, Jay Ward",en,"NBC, ABC",US,English,"Jay Ward Productions, P.A.T.",United States of America,5
1013,Voltron: Defender of the Universe,2,72,en,7.565,"Voltron is the name of a giant robot in an anime television series that features a team of space explorers known as the Voltron Force. The space explorers pilot robot lions who join together to form the giant robot with which they defend their galaxy from evil. Initially produced as a joint venture between World Events Productions and Toei Animation, the original television series aired in syndication from September 10, 1984 to November 18, 1985. The program was entitled Voltron: Defender of the Universe.",False,"1984-09-10","1985-11-18",http://www.voltron.com/,False,117.279,Scripted,Ended,"","Animation, Sci-Fi & Fantasy","",en,Syndication,"JP, US",English,"",United States of America,22
45516,Here Comes Honey Boo Boo,5,55,en,3.1439999999999997,"Alana and her mother, June, have been become two of the more familiar Toddlers & Tiaras faces after a 2012 episode showed Alana drinking go-go juice before a competition. The drink, which worked her into a frenzy in front of the cameras, is a combination of Red Bull and Mountain Dew and had the pair working the talk show circuit earlier in the year to defend their caffeine consumption. Nicknamed Honey Boo Boo, Alana and her family, mother June, dad Sugar Bear and sisters Lauryn, Jessica and Anna, will be the focus of the series when the youngest daughter isn't competing in pageants.",False,"2012-08-08","2017-04-21","",False,6.7,Reality,Canceled,"",Reality,"",en,TLC,US,English,"","",22
113627,Call Me Kat,3,53,en,6.7,"Kat is a woman who struggles every day against society and her mother to prove that she can still live a happy and fulfilling life despite still being single at 39. Which is why she recently spent her entire savings to open a cat café in Louisville, Kentucky.",False,"2021-01-03","2023-05-04",https://www.fox.com/call-me-kat/,False,104.15700000000001,Scripted,Canceled,Disappointing her mother since 1982.,Comedy,"",en,FOX,US,English,"FOX Entertainment, Warner Bros. Television, That's Wonderful Productions, BBC Studios, Sad Clown Productions",United States of America,23
72061,The Loch,1,6,en,6.767,"The search for a serial killer becomes a matter of life and death for detective Annie Redford, who is trying to cope with her first murder case.",False,"2017-06-11","2017-07-16",https://www.itv.com/hub/the-loch/,False,6.256,Scripted,Ended,"","Crime, Drama","Cilla Ware, Brian Kelly",en,ITV1,GB,English,"ITV Studios, National Lottery, Creative Scotland",United Kingdom,45
13397,Masada,1,4,en,7.4,"A Roman general leads the epic 1st-century siege of Masada, the mountain fortress where more than 900 Jews made a heroic stand against 5,000 Roman soldiers.",False,"1981-04-05","1981-04-08","",False,8.753,Miniseries,Ended,"","Drama, Action & Adventure","",en,ABC,US,English,"Arnon Milchan Productions, Universal Television",United States of America,120
108611,牙狼〈GARO〉-魔戒ノ花-,1,25,ja,6.978,"",False,"2014-08-08","2015-01-23","",True,2.123,Scripted,Returning Series,"","","","","",JP,"","",Japan,0
87712,You vs. Wild,1,8,en,6.389,"In this interactive series, you'll make key decisions to help Bear Grylls survive, thrive and complete missions in the harshest environments on Earth.",False,"2019-04-10","2019-04-10",https://www.netflix.com/title/80227574,False,4.457,Scripted,Ended,"","Reality, Action & Adventure","",en,Netflix,US,English,"Bear Grylls Ventures, Electus",United States of America,20
